CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER;EXT.BX_ISO_3166_NUMERIC.0
0000000001;;COUNTRY;Беларусь;Belarus;;149;;;;;112
0000000002;0000000001;REGION;Брестская область;;;29632;;;;;
0000000003;0000000002;CITY;Брест;;;153;;;;;
0000000004;0000000002;SUBREGION;Каменецкий район;;;102088;;;;;
0000000005;0000000004;CITY;Высокое;;;33001;;;;;
0000000006;0000000004;CITY;Каменец;;;102224;;;;;
0000000007;0000000002;SUBREGION;Дрогичинский район;;;102084;;;;;
0000000008;0000000007;CITY;Дрогичин;;;33011;;;;;
0000000009;0000000002;SUBREGION;Брестский район;;;102080;;;;;
0000000012;0000000002;SUBREGION;Барановичский район;;;102081;;;;;
0000000014;0000000002;SUBREGION;Пинский район;;;102093;;;;;
0000000016;0000000002;SUBREGION;Ляховичский район;;;102091;;;;;
0000000017;0000000016;CITY;Ляховичи;;;102226;;;;;
0000000018;0000000002;SUBREGION;Берёзовский район;;;102082;;;;;
0000000019;0000000018;CITY;Белоозерск;;;102227;;;;;
0000000020;0000000018;CITY;Береза;;;102221;;;;;
0000000021;0000000002;SUBREGION;Лунинецкий район;;;102090;;;;;
0000000022;0000000021;CITY;Лунинец;;;102225;;;;;
0000000023;0000000021;CITY;Микашевичи;;;102230;;;;;
0000000024;0000000002;SUBREGION;Столинский район;;;102095;;;;;
0000000025;0000000024;CITY;Давид-Городок;;;102228;;;;;
0000000026;0000000024;CITY;Столин;;;101405;;;;;
0000000027;0000000002;SUBREGION;Ивацевичский район;;;102087;;;;;
0000000028;0000000027;CITY;Коссово;;;102229;;;;;
0000000029;0000000027;CITY;Ивацевичи;;;26938;;;;;
0000000030;0000000002;SUBREGION;Ивановский район;;;102086;;;;;
0000000031;0000000030;CITY;Иваново;;;102223;;;;;
0000000032;0000000002;SUBREGION;Кобринский район;;;102089;;;;;
0000000033;0000000032;CITY;Кобрин;;;26010;;;;;
0000000034;0000000002;SUBREGION;Малоритский район;;;102092;;;;;
0000000035;0000000034;CITY;Малорита;;;101528;;;;;
0000000036;0000000002;SUBREGION;Пружанский район;;;102094;;;;;
0000000037;0000000036;CITY;Пружаны;;;26929;;;;;
0000000038;0000000002;SUBREGION;Ганцевичский район;;;102083;;;;;
0000000039;0000000038;VILLAGE;Ганцевичи деревня;;;26947;;;;;
0000000040;0000000002;SUBREGION;Жабинковский район;;;102085;;;;;
0000000041;0000000040;CITY;Жабинка;;;101661;;;;;
0000000042;0000000002;CITY;Пинск;;;21510;;;;;
0000000043;0000000002;CITY;Барановичи;;;21015;;;;;
0000000044;0000000001;REGION;Витебская область;;;29633;;;;;
0000000045;0000000044;CITY;Витебск;;;154;;;;;
0000000046;0000000044;SUBREGION;Полоцкий район;;;102188;;;;;
0000000048;0000000044;SUBREGION;Городокский район;;;102181;;;;;
0000000049;0000000048;CITY;Городок;;;102241;;;;;
0000000051;0000000044;SUBREGION;Оршанский район;;;102187;;;;;
0000000052;0000000051;CITY;Барань;;;102240;;;;;
0000000053;0000000044;SUBREGION;Лиозненский район;;;102185;;;;;
0000000055;0000000044;SUBREGION;Дубровенский район;;;102183;;;;;
0000000056;0000000055;CITY;Дубровно;;;102242;;;;;
0000000057;0000000044;SUBREGION;Россонский район;;;102190;;;;;
0000000059;0000000044;SUBREGION;Чашникский район;;;102194;;;;;
0000000060;0000000059;CITY;Новолукомль;;;102244;;;;;
0000000061;0000000059;CITY;Чашники;;;102246;;;;;
0000000062;0000000044;SUBREGION;Шумилинский район;;;102196;;;;;
0000000064;0000000044;SUBREGION;Витебский район;;;102179;;;;;
0000000066;0000000044;SUBREGION;Толочинский район;;;102192;;;;;
