CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER;EXT.BX_ISO_3166_NUMERIC.0
0000000276;;COUNTRY;Казахстан;Kazakhstan;;;;;;;398
0000000277;0000000276;REGION;Алматинская область;Almaty region;;;;;;;
0000000278;0000000277;CITY;Алматы;Almaty;;;;;;;
0000000279;0000000277;CITY;Уштобе;Ushtob;;;;;;;
0000000280;0000000277;CITY;Ушарал;Ushara;;;;;;;
0000000281;0000000277;CITY;Текели;Tekeli;;;;;;;
0000000282;0000000277;CITY;Талгар;Talgar;;;;;;;
0000000283;0000000277;CITY;Каскелен;Kaskelen;;;;;;;
0000000284;0000000277;CITY;Капчагай;Kapchaga;;;;;;;
0000000285;0000000277;CITY;Есик;Esik;;;;;;;
0000000286;0000000277;CITY;Жаркент;Zharken;;;;;;;
0000000287;0000000277;CITY;Талдыкорган;Taldykorgan;;;;;;;
0000000288;0000000276;REGION;Атырау;Atyrau region;;;;;;;
0000000289;0000000288;CITY;Атырау;Atyrau;;;;;;;
0000000290;0000000276;REGION;Восточно-Казахстанская область;East Kazakhstan region;;;;;;;
0000000291;0000000290;CITY;Шемонаиха;Shemonaix;;;;;;;
0000000292;0000000290;CITY;Аягоз;Ayago;;;;;;;
0000000293;0000000290;CITY;Усть-Каменогорск;Ust-Kamenogorsk ;;;;;;;
0000000294;0000000290;CITY;Зыряновск;Zyrayanov;;;;;;;
0000000295;0000000290;CITY;Курчатов;Kurchato;;;;;;;
0000000296;0000000290;CITY;Риддер;Ridder;;;;;;;
0000000297;0000000290;CITY;Семипалатинск;Semipalatinsk;;;;;;;
0000000298;0000000290;CITY;Серебрянск;Serebryans;;;;;;;
0000000299;0000000290;CITY;Шульбинск;Shulbinsk;;;;;;;
0000000300;0000000276;REGION;Жамбыльская область;Jambyl region;;;;;;;
0000000301;0000000300;CITY;Кулан;Kulan;;;;;;;
0000000302;0000000300;CITY;Кордай;Korday;;;;;;;
0000000303;0000000300;CITY;Жанатас;Zhanata;;;;;;;
0000000304;0000000300;CITY;Тараз;Taraz;;;;;;;
0000000305;0000000300;CITY;Шу;Ch;;;;;;;
0000000306;0000000276;REGION;Западно-Казахстанская область;West Kazakhstan region;;;;;;;
0000000307;0000000306;CITY;Аксай;Aksay;;;;;;;
0000000308;0000000306;CITY;Уральск;Uralsk ;;;;;;;
0000000309;0000000306;CITY;Чапаев;Chapaev;;;;;;;
0000000310;0000000276;REGION;Карагандинская область;Karagandy region;;;;;;;
0000000311;0000000310;CITY;Сатпаев;Satpaev;;;;;;;
0000000312;0000000310;CITY;Сарань;Sarany;;;;;;;
0000000313;0000000310;CITY;Каражал;Karazal;;;;;;;
0000000314;0000000310;CITY;Караганда;Karaganda;;;;;;;
0000000315;0000000310;CITY;Балхаш;Balkas;;;;;;;
0000000316;0000000310;CITY;Жезказган;Dzhezkazg;;;;;;;
0000000317;0000000310;CITY;Темиртау;Temirtau;;;;;;;
0000000318;0000000310;CITY;Шахтинск;Shakhtin;;;;;;;
0000000319;0000000276;REGION;Костанайская область;Kostanay region;;;;;;;
0000000320;0000000319;CITY;Сарыколь;Sarykoly;;;;;;;
0000000321;0000000319;CITY;Рудный;Rudnyi;;;;;;;
0000000322;0000000319;CITY;Житикара;Zhitikar;;;;;;;
0000000323;0000000319;CITY;Аркалык;Arkalyk;;;;;;;
0000000324;0000000319;CITY;Костанай;Kostanai;;;;;;;
0000000325;0000000319;CITY;Лисаковск;Lisakovsk;;;;;;;
0000000326;0000000276;REGION;Кызылординская область;Kyzylorda region;;;;;;;
0000000327;0000000326;CITY;Кызылорда;Kizilorda;;;;;;;
0000000328;0000000326;CITY;Байконур;Baikonur;;;;;;;
0000000329;0000000326;CITY;Аральск;Aralsk ;;;;;;;
0000000330;0000000276;REGION;Мангистауская область;Mangystau region;;;;;;;
0000000331;0000000330;CITY;Жанаозен;Zhanaoze;;;;;;;
0000000332;0000000330;CITY;Актау;Aqtau;;;;;;;
0000000333;0000000276;REGION;Павлодарская область;Pavlodar region;;;;;;;
0000000334;0000000333;CITY;Аксу;Aksu;;;;;;;
0000000335;0000000333;CITY;Павлодар;Pavlodar;;;;;;;
0000000336;0000000333;CITY;Иртышск;Irtyshs;;;;;;;
0000000337;0000000333;CITY;Экибастуз;Ekibastuz;;;;;;;
0000000338;0000000276;REGION;Южно-Казахстанская область;South Kazakhstan region;;;;;;;
0000000339;0000000338;CITY;Шардара;Shardar;;;;;;;
0000000340;0000000338;CITY;Туркестан;Turkestan;;;;;;;
0000000341;0000000338;CITY;Сарыагаш;Saryagas;;;;;;;
0000000342;0000000338;CITY;Ленгер;Lenger;;;;;;;
0000000343;0000000338;CITY;Кентау;Kentau;;;;;;;
0000000344;0000000338;CITY;Жетысай;Dzhetis;;;;;;;
0000000345;0000000338;CITY;Шымкент;Shymken;;;;;;;
0000000346;0000000276;REGION;Акмолинская область;Akmola region;;;;;;;
0000000347;0000000346;CITY;Щучинск;Schuchi;;;;;;;
0000000348;0000000346;CITY;Степногорск;Stepnogorsk;;;;;;;
0000000349;0000000346;CITY;Макинск;Makinsk;;;;;;;
0000000350;0000000346;CITY;Кокшетау;Koksheta;;;;;;;
0000000351;0000000346;CITY;Ерментау;Ermentau;;;;;;;
0000000352;0000000346;CITY;Державинск;Derzavinsk;;;;;;;
0000000353;0000000346;CITY;Атбасар;Atbasar;;;;;;;
0000000354;0000000346;CITY;Акколь;Akkol ;;;;;;;
0000000355;0000000276;REGION;Актюбинская область;Aktobe region;;;;;;;
0000000356;0000000355;CITY;Эмба;Emba;;;;;;;
0000000357;0000000355;CITY;Хромтау;Xromtau;;;;;;;
0000000358;0000000355;CITY;Алга;Alga;;;;;;;
0000000359;0000000355;CITY;Кандыагаш;Kandyagas;;;;;;;
0000000360;0000000276;REGION;Северо-Казахстанская область;North Kazakhstan region;;;;;;;
0000000361;0000000360;CITY;Петропавловск;Petropavlovsk;;;;;;;
0000000362;0000000276;REGION;Нур-Султан;Nur-Sultan;;;;;;;
0000000363;0000000362;CITY;Нур-Султан;Nur-Sultan;;;;;;;
