CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER;EXT.BX_ISO_3166_NUMERIC.0
0000028023;;COUNTRY;Россия;Russian Federation;;225;;;;;643
0000028024;0000028023;COUNTRY_DISTRICT;Центр;;;3;;;;;
0000028025;0000028024;REGION;Московская область;;;1;;;;;
0000028026;0000028024;REGION;Белгородская область;;;10645;;;;;
0000028027;0000028024;REGION;Ивановская область;;;10687;;;;;
0000028028;0000028024;REGION;Калужская область;;;10693;;;;;
0000028029;0000028024;REGION;Костромская область;;;10699;;;;;
0000028030;0000028024;REGION;Курская область;;;10705;;;;;
0000028031;0000028024;REGION;Липецкая область;;;10712;;;;;
0000028032;0000028024;REGION;Орловская область;;;10772;;;;;
0000028033;0000028024;REGION;Рязанская область;;;10776;390000;;;;
0000028034;0000028024;REGION;Смоленская область;;;10795;;;;;
0000028035;0000028024;REGION;Тамбовская область;;;10802;392000;;;;
0000028036;0000028024;REGION;Тверская область;;;10819;;;;;
0000028037;0000028024;REGION;Тульская область;;;10832;;;;;
0000028038;0000028024;REGION;Ярославская область;;;10841;;;;;
0000028039;0000028024;REGION;Брянская область;;;10650;;;;;
0000028040;0000028024;REGION;Воронежская область;;;10672;;;;;
0000028041;0000028024;REGION;Владимирская область;;;10658;;;;;
0000028042;0000028023;COUNTRY_DISTRICT;Северо-Запад;;;17;;;;;
0000028043;0000028042;REGION;Ленинградская область;;;10174;;;;;
0000028044;0000028042;REGION;Республика Коми;;;10939;;;;;
0000028045;0000028042;REGION;Республика Карелия;;;10933;;;;;
0000028046;0000028042;REGION;Вологодская область;;;10853;;;;;
0000028047;0000028042;REGION;Архангельская область;;;10842;;;;;
0000028048;0000028042;REGION;Мурманская область;;;10897;;;;;
0000028049;0000028042;REGION;Калининградская область;;;10857;;;;;
0000028050;0000028042;REGION;Псковская область;;;10926;;;;;
