CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER.0
0000000364;;COUNTRY;Украина;Ukraine;Україна;187;;;;
0000000365;0000000364;COUNTRY_DISTRICT;Юг;;Південь;20526;;;;
0000000366;0000000365;REGION;Автономная Республика Крым;;Автономна Республіка Крим;;;;;
0000000367;0000000366;SUBREGION;;;Алушта, місто;;;;;
0000000368;0000000366;CITY;Алушта;;Алушта;;98500;;;98532,98524,98545,98531,98530,98540,98520,98542,98521,98522,98523,98541,98500
0000000369;0000000368;VILLAGE;Верхняя Кутузовка поселок;;Верхня Кутузовка селище;;98532;;;
0000000370;0000000368;VILLAGE;Генеральское поселок;;Генеральське селище;;98524;;;
0000000371;0000000368;VILLAGE;Запрудное поселок;;Запрудне селище;;98545;;;
0000000372;0000000368;VILLAGE;Изобильное поселок;;Ізобільне селище;;98531;;;
0000000373;0000000368;VILLAGE;Лучистое поселок;;Лучисте селище;;98530;;;
0000000374;0000000368;VILLAGE;Малый Маяк поселок;;Малий Маяк селище;;98540;;;
0000000375;0000000368;VILLAGE;Малореченское поселок;;Малоріченське селище;;98520;;;
0000000376;0000000368;VILLAGE;Нижняя Кутузовка поселок;;Нижня Кутузовка селище;;98532;;;
0000000377;0000000368;VILLAGE;Партенит поселок;;Партеніт селище;;98542;;;
0000000378;0000000368;VILLAGE;Приветное поселок;;Привітне селище;;98521;;;
0000000379;0000000368;VILLAGE;Рыбачье поселок;;Рибаче селище;;98522;;;
0000000380;0000000368;VILLAGE;Солнечногорское поселок;;Сонячногірське селище;;98523;;;
0000000381;0000000368;VILLAGE;Утес поселок;;Утьос селище;;98541;;;
0000000382;0000000366;SUBREGION;Бахчисарайский район;;Бахчисарайський район;;;;;
0000000383;0000000382;VILLAGE;Ароматное село;;Ароматне село;;98444;;;
0000000384;0000000382;CITY;Бахчисарай;;Бахчисарай;;98400;;;98409
0000000385;0000000382;VILLAGE;Береговое село;;Берегове село;;98432;;;
0000000386;0000000382;VILLAGE;Брянское село;;Брянське село;;98411;;;
0000000387;0000000382;VILLAGE;Большое Садовое село;;Велике Садове село;;98470;;;
0000000388;0000000382;VILLAGE;Верхоречье село;;Верхоріччя село;;98460;;;
0000000389;0000000382;VILLAGE;Отрадное село;;Відрадне село;;98413;;;
0000000390;0000000382;VILLAGE;Викторовка село;;Вікторівка село;;98400;;;
0000000391;0000000382;VILLAGE;Вилино село;;Віліне село;;98433;;;
0000000392;0000000382;VILLAGE;Глубокий Яр село;;Глибокий Яр село;;98442;;;
0000000393;0000000382;VILLAGE;Голубинка село;;Голубинка село;;98474;;;
0000000394;0000000382;VILLAGE;Дибровка село;;Дібрівка село;;98412;;;
0000000395;0000000382;VILLAGE;Долинное село;;Долинне село;;98450;;;
0000000396;0000000382;VILLAGE;Зализничное село;;Залізничне село;;98462;;;
0000000397;0000000382;VILLAGE;Казанки село;;Казанки село;;98424;;;
0000000398;0000000382;VILLAGE;Каштаны село;;Каштани село;;98413;;;
0000000399;0000000382;VILLAGE;Красный Мак село;;Красний Мак село;;98464;;;
0000000400;0000000382;VILLAGE;Куйбышево пгт;;Куйбишеве смт;;98470;;;
0000000401;0000000382;VILLAGE;Маловидное село;;Маловидне село;;98446;;;
0000000402;0000000384;VILLAGE;Научный поселок;;Научний селище;;98409;;;
0000000403;0000000382;VILLAGE;Некрасовка село;;Некрасовка село;;98454;;;
0000000404;0000000382;VILLAGE;Нововасильевка село;;Нововасилівка село;;98420;;;
0000000405;0000000382;VILLAGE;Новопавловка село;;Новопавлівка село;;98420;;;
0000000406;0000000382;VILLAGE;Предущельное село;;Передущельне село;;98461;;;
0000000407;0000000382;VILLAGE;Песчаное село;;Піщане село;;98431;;;
0000000408;0000000382;VILLAGE;Плодовое село;;Плодове село;;98410;;;
0000000409;0000000382;VILLAGE;Плотинное село;;Плотинне село;;98473;;;
0000000410;0000000382;VILLAGE;Почтовое пгт;;Поштове смт;;98420;;;
0000000411;0000000382;VILLAGE;Прохладное село;;Прохладне село;;98443;;;
0000000412;0000000382;VILLAGE;Самохвалово село;;Самохвалове село;;98420;;;
0000000413;0000000382;VILLAGE;Севастьяновка село;;Севастянівка село;;98420;;;
0000000414;0000000382;VILLAGE;Скалистое село;;Скалисте село;;98440;;;
0000000415;0000000382;VILLAGE;Соколиное село;;Соколине село;;98475;;;
0000000416;0000000382;VILLAGE;Суворово село;;Суворове село;;98452;;;
0000000417;0000000382;VILLAGE;Табачное село;;Табачне село;;98430;;;
0000000418;0000000382;VILLAGE;Танковое село;;Танкове село;;98471;;;
0000000419;0000000382;VILLAGE;Тенистое село;;Тінисте село;;98452;;;
0000000420;0000000382;VILLAGE;Тополя село;;Тополі село;;98426;;;
0000000421;0000000382;VILLAGE;Трудолюбовка село;;Трудолюбівка село;;98441;;;
0000000422;0000000382;VILLAGE;Тургеневка село;;Тургенєвка село;;98463;;;
0000000423;0000000382;VILLAGE;Угловое село;;Углове село;;98435;;;
0000000424;0000000382;VILLAGE;Фурмановка село;;Фурмановка село;;98451;;;
0000000425;0000000382;VILLAGE;Холмовка село;;Холмівка село;;98465;;;
0000000426;0000000382;VILLAGE;Счасливое село;;Щасливе село;;98476;;;
0000000427;0000000366;SUBREGION;Белогорский район;;Білогірський район;;;;;
0000000428;0000000427;VILLAGE;Богатое село;;Багате село;;97650;;;
0000000429;0000000427;VILLAGE;Балки село;;Балки село;;97460;;;
0000000430;0000000427;VILLAGE;Белая Скала село;;Біла Скеля село;;97614;;;
0000000431;0000000427;CITY;Белогорск;;Білогірськ;;97600;;;
0000000432;0000000427;VILLAGE;Василевка село;;Василівка село;;97611;;;
0000000433;0000000427;VILLAGE;Вишенное село;;Вишенне село;;97613;;;
0000000434;0000000427;VILLAGE;Головановка село;;Голованівка село;;97644;;;
0000000435;0000000427;VILLAGE;Долиновка село;;Долинівка село;;97625;;;
0000000436;0000000427;VILLAGE;Зеленогорское село;;Зеленогірське село;;97640;;;
0000000437;0000000427;VILLAGE;Земляничное село;;Земляничне село;;97651;;;
0000000438;0000000427;VILLAGE;Зыбины село;;Зибини село;;97610;;;
0000000439;0000000427;VILLAGE;Зуя пгт;;Зуя смт;;97630;;;
0000000440;0000000427;VILLAGE;Крымская Роза село;;Кримська Роза село;;97633;;;
0000000441;0000000427;VILLAGE;Криничное село;;Криничне село;;97643;;;
0000000442;0000000427;VILLAGE;Курортное село;;Курортне село;;97637;;;
0000000443;0000000427;VILLAGE;Курское село;;Курське село;;97653;;;
0000000444;0000000427;VILLAGE;Литвиненково село;;Литвиненкове село;;97632;;;
0000000445;0000000427;VILLAGE;Лечебное село;;Лічебне село;;97646;;;
0000000446;0000000427;VILLAGE;Мельничное село;;Мельничне село;;97622;;;
0000000447;0000000427;VILLAGE;Мичуринское село;;Мічурінське село;;97645;;;
0000000448;0000000427;VILLAGE;Муромское село;;Муромське село;;97615;;;
0000000449;0000000427;VILLAGE;Нижние Орешники село;;Нижні Орішники село;;97631;;;
0000000450;0000000427;VILLAGE;Новожиловка село;;Новожилівка село;;97620;;;
0000000451;0000000427;VILLAGE;Новокленово село;;Новокленове село;;97600;;;
0000000452;0000000427;VILLAGE;Петрово село;;Петрове село;;97634;;;
0000000453;0000000427;VILLAGE;Русаковка село;;Русаківка село;;97626;;;
0000000454;0000000427;VILLAGE;Тургенево село;;Тургенєве село;;97621;;;
0000000455;0000000427;VILLAGE;Ударное село;;Ударне село;;97622;;;
0000000456;0000000427;VILLAGE;Учебное село;;Учебне село;;97652;;;
0000000457;0000000427;VILLAGE;Цветочное село;;Цвіточне село;;97624;;;
0000000458;0000000427;VILLAGE;Чорнополье село;;Чорнопілля село;;97642;;;
0000001732;0000000364;COUNTRY_DISTRICT;Запад;;Захід;20524;;;;
0000004897;0000001732;REGION;Хмельницкая область;;Хмельницька область;20535;;;;
0001095979;0000004897;SUBREGION;Белогорский район;;Білогірський район;;;;;
0000000459;0001095979;VILLAGE;Большая Боровица поселок;;Велика Боровиця селище;;30210;;;
0000000460;0000000427;CITY;;;В'язовець;;;;;
0000000461;0000000427;CITY;;;Гулівці;;;;;
0000000462;0001095979;VILLAGE;Дзвонки поселок;;Дзвінки селище;;30216;;;
0000000463;0001095979;VILLAGE;Жемелинцы поселок;;Жемелинці селище;;30209;;;
0000000464;0000000427;CITY;;;Йосипівці;;;;;
0000000465;0001095979;VILLAGE;Кащенцы поселок;;Кащенці селище;;30223;;;
0000000466;0001095979;VILLAGE;Курьянки поселок;;Кур'янки селище;;30215;;;
0000000467;0001095979;VILLAGE;Лепесовка поселок;;Лепесівка селище;;30233;;;
0000000468;0001095979;VILLAGE;Малая Боровица поселок;;Мала Боровиця селище;;30210;;;
0000000469;0000000427;CITY;;;Миклаші;;;;;
0000000470;0001095979;VILLAGE;Мокроволя поселок;;Мокроволя селище;;30208;;;
0000000471;0000000427;CITY;;;Паньківці;;;;;
0000000472;0001095979;VILLAGE;Перерослое поселок;;Переросле селище;;30214;;;
0000000473;0001095979;VILLAGE;Сивки поселок;;Сивки селище;;30224;;;
0000000474;0001095979;VILLAGE;Ставищаны поселок;;Ставищани селище;;30222;;;
0000000475;0001095979;VILLAGE;Сушивцы поселок;;Сушівці селище;;30240;;;
0000000476;0001095979;VILLAGE;Хорошев поселок;;Хорошів селище;;30220;;;
0000000477;0000000366;SUBREGION;Джанкойский район;;Джанкойський район;;;;;
0000000478;0000000477;VILLAGE;Азовское пгт;;Азовське смт;;96178;;;
0000000479;0000000477;VILLAGE;Ближнегородское село;;Ближньогородське село;;96184;;;
0000000480;0000000477;VILLAGE;Бородино село;;Бородіно село;;96170;;;
0000000481;0000000477;VILLAGE;Вольное пгт;;Вільне смт;;96186;;;
0000000482;0000000477;CITY;Джанкой;;Джанкой;;96100;;;
0000000483;0000000477;VILLAGE;Дмитровка село;;Дмитрівка село;;96118;;;
0000000484;0000000477;VILLAGE;Днепровка село;;Дніпровка село;;96181;;;
0000000485;0000000477;VILLAGE;Ермаково село;;Єрмакове село;;96123;;;
0000000486;0000000477;VILLAGE;Жилино село;;Жилине село;;96150;;;
0000000487;0000000477;VILLAGE;Завет-Ленинский село;;Завіт-Ленінський село;;96126;;;
0000000488;0000000477;VILLAGE;Заречное село;;Зарічне село;;96160;;;
0000000489;0000000477;VILLAGE;Зерновое село;;Зернове село;;96156;;;
0000000490;0000000477;VILLAGE;Изумрудное село;;Ізумрудне село;;96116;;;
0000000491;0000000477;VILLAGE;Источное село;;Істочне село;;96134;;;
0000000492;0000000477;VILLAGE;Калиновка село;;Калинівка село;;97000;;;
0000000493;0000000477;VILLAGE;Кондратово село;;Кіндратове село;;96169;;;
0000000494;0000000477;VILLAGE;Ковыльное село;;Ковильне село;;96140;;;
0000000495;0000000477;VILLAGE;Колоски село;;Колоски село;;96131;;;
0000000496;0000000477;VILLAGE;Комсомольское село;;Комсомольське село;;96143;;;
0000000497;0000000477;VILLAGE;Крымка село;;Кримка село;;96154;;;
0000000498;0000000477;VILLAGE;Лобаново село;;Лобанове село;;96150;;;
0000000499;0000000477;VILLAGE;Луганское село;;Луганське село;;96140;;;
0000000500;0000000477;VILLAGE;Майское село;;Майське село;;96178;;;
0000000501;0000000477;VILLAGE;Марьино село;;Мар'їне село;;96152;;;
0000000502;0000000477;VILLAGE;Мартыновка село;;Мартинівка село;;96128;;;
0000000503;0000000477;VILLAGE;Маслово село;;Маслове село;;96143;;;
0000000504;0000000477;VILLAGE;Медведовка село;;Медведівка село;;96121;;;
0000000505;0000000477;VILLAGE;Мирновка село;;Мирнівка село;;96180;;;
0000000506;0000000477;VILLAGE;Многоводное село;;Многоводне село;;96163;;;
0000000507;0000000477;VILLAGE;Новая Жизнь село;;Нове Життя село;;96168;;;
0000000508;0000000477;VILLAGE;Новокрымское село;;Новокримське село;;96133;;;
0000000509;0000000477;CITY;;;Новопалівка;;;;;
0000000510;0000000477;VILLAGE;Новосельцево село;;Новосільцеве село;;96174;;;
0000000511;0000000477;VILLAGE;Новостепное село;;Новостепове село;;96119;;;
0000000512;0000000477;VILLAGE;Овочевое село;;Овочеве село;;97000;;;
0000000513;0000000477;VILLAGE;Озерки село;;Озерки село;;96166;;;
0000000514;0000000477;VILLAGE;Октябрь село;;Октябр село;;96176;;;
0000000515;0000000477;VILLAGE;Пахаревка село;;Пахарівка село;;96132;;;
0000000516;0000000477;VILLAGE;Перепелкино село;;Перепілкине село;;96161;;;
0000000517;0000000477;VILLAGE;Победное село;;Побєдне село;;96167;;;
0000000518;0000000477;VILLAGE;Полевое село;;Польове село;;96178;;;
0000000519;0000000477;VILLAGE;Придорожное село;;Придорожнє село;;96125;;;
0000000520;0000000477;VILLAGE;Просторное село;;Просторне село;;96170;;;
0000000521;0000000477;VILLAGE;Пушкино село;;Пушкіне село;;96126;;;
0000000522;0000000477;VILLAGE;Рысаково село;;Рисакове село;;96180;;;
0000000523;0000000477;VILLAGE;Роскошное село;;Розкішне село;;96155;;;
0000000524;0000000477;VILLAGE;Рощино село;;Рощине село;;96183;;;
0000000525;0000000477;VILLAGE;Светлое село;;Світле село;;96172;;;
0000000526;0000000477;VILLAGE;Стальное село;;Стальне село;;96163;;;
0000000527;0000000477;VILLAGE;Стефановка село;;Стефанівка село;;96171;;;
0000000528;0000000477;VILLAGE;Соленое Озеро село;;Солоне Озеро село;;96124;;;
0000000529;0000000477;VILLAGE;Субботник село;;Суботник село;;96143;;;
0000000530;0000000477;VILLAGE;Тутовое село;;Тутове село;;96141;;;
0000000531;0000000477;VILLAGE;Целинное село;;Цілинне село;;96130;;;
0000000532;0000000477;VILLAGE;Чайкино село;;Чайкине село;;96162;;;
0000000533;0000000477;CITY;;;Ярке;;;;;
0000000534;0000000477;VILLAGE;Яркое Поле село;;Ярке Поле село;;96185;;;
0000000535;0000000477;VILLAGE;Яснополянское село;;Яснополянське село;;96120;;;
0000000536;0000000366;SUBREGION;;;Євпаторія, місто;;;;;
0000000537;0000000366;CITY;Евпатория;;Євпаторія;;97402;;;97493,97492,97491
0000000538;0000000537;VILLAGE;Заозерное поселок;;Заозерне селище;;97493;;;
0000000539;0000000537;VILLAGE;Мирный поселок;;Мирний селище;;97492;;;
0000000540;0000000537;VILLAGE;Новоозерное поселок;;Новоозерне селище;;97491;;;
0000000541;0000000366;SUBREGION;;;Керч, місто;;;;;
0000000542;0000000366;CITY;Керчь;;Керч;;98300;;;
0000000543;0000000366;SUBREGION;Кировский район;;Кіровський район;;;;;
0000000544;0000000543;VILLAGE;Абрикосовка село;;Абрикосівка село;;97342;;;
0000000545;0000000543;VILLAGE;Бабенково село;;Бабенкове село;;97344;;;
0000000546;0000000543;VILLAGE;Отважное село;;Відважне село;;97328;;;
0000000547;0000000543;VILLAGE;Видродження село;;Відродження село;;97331;;;
0000000548;0000000543;VILLAGE;Владиславовка село;;Владиславівка село;;97320;;;
0000000549;0000000543;VILLAGE;Добролюбовка село;;Добролюбовка село;;97333;;;
0000000550;0000000543;VILLAGE;Журавки село;;Журавки село;;97321;;;
0000000551;0000000543;VILLAGE;Золотое Поле село;;Золоте Поле село;;97330;;;
0000000552;0000000543;VILLAGE;Изюмовка село;;Ізюмівка село;;97326;;;
0000000553;0000000543;VILLAGE;Кировское пгт;;Кіровське смт;;97300;;;
0000000554;0000000543;VILLAGE;Красносельское село;;Красносільське село;;97351;;;
0000000555;0000000543;VILLAGE;Кринички село;;Кринички село;;97343;;;
0000000556;0000000543;VILLAGE;Льговское село;;Льговське село;;97332;;;
0000000557;0000000543;VILLAGE;Новопокровка село;;Новопокровка село;;97322;;;
0000000558;0000000543;VILLAGE;Партизаны село;;Партизани село;;97340;;;
0000000559;0000000543;VILLAGE;Первомайское село;;Первомайське село;;97323;;;
0000000560;0000000543;VILLAGE;Синицыно село;;Синицине село;;97312;;;
0000000561;0000000543;CITY;Старый Крым;;Старий Крим;;97345;;;
0000000562;0000000543;VILLAGE;Токарево село;;Токарєве село;;97310;;;
0000000563;0000000543;VILLAGE;Шубино село;;Шубине село;;97311;;;
0000000564;0000000366;SUBREGION;Красногвардейский район;;Красногвардійський район;;;;;
0000000565;0000000564;VILLAGE;Амурское село;;Амурське село;;97060;;;
0000000566;0000000564;VILLAGE;Ближнее село;;Ближнє село;;97014;;;
0000000567;0000000564;VILLAGE;Восход село;;Восход село;;97020;;;
0000000568;0000000564;VILLAGE;Дубровское село;;Дібрівське село;;97036;;;
0000000569;0000000564;VILLAGE;Докучаево село;;Докучаєве село;;97064;;;
0000000570;0000000564;VILLAGE;Знаменка село;;Знам'янка село;;97020;;;
0000000571;0000000564;VILLAGE;Калинино село;;Калініне село;;97006;;;
0000000572;0000000564;VILLAGE;Карповка село;;Карпівка село;;97011;;;
0000000573;0000000564;VILLAGE;Клепинино село;;Клепиніне село;;97010;;;
0000000574;0000000564;VILLAGE;Климово село;;Климове село;;97022;;;
0000000575;0000000564;VILLAGE;Колодезное село;;Колодязне село;;97061;;;
0000000576;0000000564;VILLAGE;Комаровка село;;Комарівка село;;97036;;;
0000000577;0000000564;VILLAGE;Котельниково село;;Котельникове село;;97034;;;
0000000578;0000000564;VILLAGE;Красная Поляна село;;Красна Поляна село;;97017;;;
0000000579;0000000564;VILLAGE;Красный Партизан село;;Красний Партизан село;;97032;;;
0000000580;0000000564;VILLAGE;Красногвардейское пгт;;Красногвардійське смт;;97000;;;
0000000581;0000000564;VILLAGE;Краснодарка село;;Краснодарка село;;97007;;;
0000000582;0000000564;VILLAGE;Краснознаменка село;;Краснознам'янка село;;97050;;;
0000000583;0000000564;VILLAGE;Кремневка село;;Кремнівка село;;97018;;;
0000000584;0000000564;VILLAGE;Ленинское село;;Ленінське село;;97053;;;
0000000585;0000000564;VILLAGE;Марьяновка село;;Мар'янівка село;;97023;;;
0000000586;0000000564;VILLAGE;Миролюбовка село;;Миролюбівка село;;97016;;;
0000000587;0000000564;VILLAGE;Молочное село;;Молочне село;;97040;;;
0000000588;0000000564;VILLAGE;Мускатное село;;Мускатне село;;97027;;;
0000000589;0000000564;VILLAGE;Найденовка село;;Найдьонівка село;;97062;;;
0000000590;0000000564;VILLAGE;Некрасово село;;Некрасове село;;97041;;;
0000000591;0000000564;VILLAGE;Новоэстония село;;Новоестонія село;;97015;;;
0000000592;0000000564;VILLAGE;Новозуевка село;;Новозуївка село;;97060;;;
0000000593;0000000564;VILLAGE;Новоалексеевка село;;Новоолексіївка село;;97060;;;
0000000594;0000000564;VILLAGE;Новосельцы село;;Новосільці село;;97025;;;
0000000595;0000000564;VILLAGE;Октябрьское пгт;;Октябрське смт;;97060;;;
0000000596;0000000564;VILLAGE;Александровка село;;Олександрівка село;;97007;;;
0000000597;0000000564;VILLAGE;Петровка село;;Петрівка село;;97012;;;
0000000598;0000000564;VILLAGE;Полтавка село;;Полтавка село;;97036;;;
0000000599;0000000564;VILLAGE;Пятихатка село;;П'ятихатка село;;97045;;;
0000000600;0000000564;VILLAGE;Ровно село;;Рівне село;;97040;;;
0000000601;0000000564;VILLAGE;Тимашовка село;;Тимашівка село;;97007;;;
0000000602;0000000564;VILLAGE;Тимошенко село;;Тимошенко село;;97050;;;
0000000603;0000000564;VILLAGE;Трактовое село;;Трактове село;;97052;;;
0000000604;0000000564;VILLAGE;Удачное село;;Удачне село;;97033;;;
0000000605;0000000564;VILLAGE;Щербаково село;;Щербакове село;;97024;;;
0000000606;0000000564;VILLAGE;Янтарное село;;Янтарне село;;97030;;;
0000000607;0000000366;SUBREGION;Красноперекопский район;;Красноперекопський район;;;;;
0000000608;0000000366;CITY;Армянск;;Армянськ;;96012;;;96011,96012,96010
0000000609;0000000607;VILLAGE;Братское село;;Братське село;;96050;;;
0000000610;0000000607;VILLAGE;Вишневка село;;Вишнівка село;;96030;;;
0000000611;0000000607;VILLAGE;Воинка село;;Воїнка село;;96033;;;
0000000612;0000000607;VILLAGE;Долинка село;;Долинка село;;96036;;;
0000000613;0000000607;VILLAGE;Зеленая Нива село;;Зелена Нива село;;96031;;;
0000000614;0000000607;VILLAGE;Ильинка село;;Іллінка село;;96052;;;
0000000615;0000000607;VILLAGE;Ишунь село;;Ішунь село;;96025;;;
0000000616;0000000607;VILLAGE;Красноармейское село;;Красноармійське село;;96032;;;
0000000617;0000000607;CITY;Красноперекопск;;Красноперекопськ;;96000;;;
0000000618;0000000607;VILLAGE;Магазинка село;;Магазинка село;;96040;;;
0000000619;0000000607;VILLAGE;Новоивановка село;;Новоіванівка село;;96042;;;
0000000620;0000000607;VILLAGE;Новониколаевка село;;Новомиколаївка село;;96044;;;
0000000621;0000000607;VILLAGE;Орловское село;;Орлівське село;;96043;;;
0000000622;0000000607;CITY;;;Перекоп;;;;;
0000000623;0000000607;VILLAGE;Почетное село;;Почетне село;;96020;;;
0000000624;0000000607;VILLAGE;Привольное село;;Привільне село;;96037;;;
0000000625;0000000607;VILLAGE;Рисовое село;;Рисове село;;96023;;;
0000000626;0000000607;VILLAGE;Совхозное село;;Совхозне село;;96022;;;
0000000627;0000000607;VILLAGE;Таврийское село;;Таврійське село;;96024;;;
0000000628;0000000607;VILLAGE;Филатовка село;;Філатівка село;;96017;;;
0000000629;0000000366;SUBREGION;Ленинский район;;Ленінський район;;;;;
0000000630;0000000629;VILLAGE;Багерово пгт;;Багерове смт;;98227;;;
