CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER;EXT.BX_ISO_3166_NUMERIC.0
0000011327;;COUNTRY;США;USA;;;;;;;840
0000011328;0000011327;CITY;Acmar;Acmar;;;;;;;
0000011329;0000011327;CITY;Adamsville;Adamsville;;;;;;;
0000011330;0000011327;CITY;Adger;Adger;;;;;;;
0000011331;0000011327;CITY;Keystone;Keystone;;;;;;;
0000011332;0000011327;CITY;New Site;New Site;;;;;;;
0000011333;0000011327;CITY;Alpine;Alpine;;;;;;;
0000011334;0000011327;CITY;Arab;Arab;;;;;;;
0000011335;0000011327;CITY;Baileyton;Baileyton;;;;;;;
0000011336;0000011327;CITY;Bessemer;Bessemer;;;;;;;
0000011337;0000011327;CITY;Hueytown;Hueytown;;;;;;;
0000011338;0000011327;CITY;Blountsville;Blountsville;;;;;;;
0000011339;0000011327;CITY;Bremen;Bremen;;;;;;;
0000011340;0000011327;CITY;Brent;Brent;;;;;;;
0000011341;0000011327;CITY;Brierfield;Brierfield;;;;;;;
0000011342;0000011327;CITY;Calera;Calera;;;;;;;
0000011343;0000011327;CITY;Centreville;Centreville;;;;;;;
0000011344;0000011327;CITY;Chelsea;Chelsea;;;;;;;
0000011345;0000011327;CITY;Coosa Pines;Coosa Pines;;;;;;;
0000011346;0000011327;CITY;Clanton;Clanton;;;;;;;
0000011347;0000011327;CITY;Cleveland;Cleveland;;;;;;;
0000011348;0000011327;CITY;Columbiana;Columbiana;;;;;;;
0000011349;0000011327;CITY;Crane Hill;Crane Hill;;;;;;;
0000011350;0000011327;CITY;Cropwell;Cropwell;;;;;;;
0000011351;0000011327;CITY;Cullman;Cullman;;;;;;;
0000011352;0000011327;CITY;Dolomite;Dolomite;;;;;;;
0000011353;0000011327;CITY;Dora;Dora;;;;;;;
0000011354;0000011327;CITY;Empire;Empire;;;;;;;
0000011355;0000011327;CITY;Fairfield;Fairfield;;;;;;;
0000011356;0000011327;CITY;Coalburg;Coalburg;;;;;;;
0000011357;0000011327;CITY;Gardendale;Gardendale;;;;;;;
0000011358;0000011327;CITY;Goodwater;Goodwater;;;;;;;
0000011359;0000011327;CITY;Alden;Alden;;;;;;;
0000011360;0000011327;CITY;Hanceville;Hanceville;;;;;;;
0000011361;0000011327;CITY;Harpersville;Harpersville;;;;;;;
0000011362;0000011327;CITY;Hayden;Hayden;;;;;;;
0000011363;0000011327;CITY;Helena;Helena;;;;;;;
0000011364;0000011327;CITY;Holly Pond;Holly Pond;;;;;;;
0000011365;0000011327;CITY;Jemison;Jemison;;;;;;;
0000011366;0000011327;CITY;Joppa;Joppa;;;;;;;
0000011367;0000011327;CITY;Kellyton;Kellyton;;;;;;;
0000011368;0000011327;CITY;Kimberly;Kimberly;;;;;;;
0000011369;0000011327;CITY;Leeds;Leeds;;;;;;;
0000011370;0000011327;CITY;Lincoln;Lincoln;;;;;;;
0000011371;0000011327;CITY;Logan;Logan;;;;;;;
0000011372;0000011327;CITY;Mc Calla;Mc Calla;;;;;;;
0000011373;0000011327;CITY;Maylene;Maylene;;;;;;;
0000011374;0000011327;CITY;Montevallo;Montevallo;;;;;;;
0000011375;0000011327;CITY;Morris;Morris;;;;;;;
0000011376;0000011327;CITY;Mount Olive;Mount Olive;;;;;;;
0000011377;0000011327;CITY;Sylvan Springs;Sylvan Springs;;;;;;;
0000011378;0000011327;CITY;Odenville;Odenville;;;;;;;
0000011379;0000011327;CITY;Oneonta;Oneonta;;;;;;;
0000011380;0000011327;CITY;Indian Springs;Indian Springs;;;;;;;
0000011381;0000011327;CITY;Pell City;Pell City;;;;;;;
0000011382;0000011327;CITY;Dixiana;Dixiana;;;;;;;
0000011383;0000011327;CITY;Pleasant Grove;Pleasant Grove;;;;;;;
0000011384;0000011327;CITY;Quinton;Quinton;;;;;;;
0000011385;0000011327;CITY;Ragland;Ragland;;;;;;;
0000011386;0000011327;CITY;Remlap;Remlap;;;;;;;
0000011387;0000011327;CITY;Riverside;Riverside;;;;;;;
0000011388;0000011327;CITY;Rockford;Rockford;;;;;;;
0000011389;0000011327;CITY;Shelby;Shelby;;;;;;;
0000011390;0000011327;CITY;Springville;Springville;;;;;;;
0000011391;0000011327;CITY;Sterrett;Sterrett;;;;;;;
0000011392;0000011327;CITY;Sumiton;Sumiton;;;;;;;
0000011393;0000011327;CITY;Sylacauga;Sylacauga;;;;;;;
0000011394;0000011327;CITY;Talladega;Talladega;;;;;;;
0000011395;0000011327;CITY;Thorsby;Thorsby;;;;;;;
0000011396;0000011327;CITY;Trafford;Trafford;;;;;;;
0000011397;0000011327;CITY;Trussville;Trussville;;;;;;;
0000011398;0000011327;CITY;Union Grove;Union Grove;;;;;;;
0000011399;0000011327;CITY;Vandiver;Vandiver;;;;;;;
0000011400;0000011327;CITY;Vincent;Vincent;;;;;;;
0000011401;0000011327;CITY;Vinemont;Vinemont;;;;;;;
0000011402;0000011327;CITY;Warrior;Warrior;;;;;;;
0000011403;0000011327;CITY;Weogufka;Weogufka;;;;;;;
0000011404;0000011327;CITY;West Blocton;West Blocton;;;;;;;
0000011405;0000011327;CITY;Wilsonville;Wilsonville;;;;;;;
0000011406;0000011327;CITY;Woodstock;Woodstock;;;;;;;
0000011407;0000011327;CITY;Birmingham;Birmingham;;;;;;;
0000011408;0000011327;CITY;Homewood;Homewood;;;;;;;
0000011409;0000011327;CITY;Irondale;Irondale;;;;;;;
0000011410;0000011327;CITY;Crestline Height;Crestline Height;;;;;;;
0000011411;0000011327;CITY;Center Point;Center Point;;;;;;;
0000011412;0000011327;CITY;Vestavia Hills;Vestavia Hills;;;;;;;
0000011413;0000011327;CITY;Mountain Brook;Mountain Brook;;;;;;;
0000011414;0000011327;CITY;Bluff Park;Bluff Park;;;;;;;
0000011415;0000011327;CITY;Midfield;Midfield;;;;;;;
