CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER;EXT.BX_ISO_3166_NUMERIC.0
0000000001;;COUNTRY;Беларусь;Belarus;;149;;;;;112
0000000276;;COUNTRY;Казахстан;Kazakhstan;;;;;;;398
0000000364;;COUNTRY;Украина;Ukraine;Україна;187;;;;;804
0000011327;;COUNTRY;США;USA;;;;;;;840
0000027948;;COUNTRY;Канада;Canada;;;;;;;124
0000027949;;COUNTRY;Албания;Albania;;;;;;;8
0000027950;;COUNTRY;Андорра;Andorra;;;;;;;20
0000027951;;COUNTRY;Австрия;Austria;;;;;;;40
0000027952;;COUNTRY;Бельгия;Belgium;;;;;;;56
0000027953;;COUNTRY;Болгария;Bulgaria;;;;;;;100
0000027954;;COUNTRY;Хорватия;Croatia;;;;;;;191
0000027955;;COUNTRY;Дания;Denmark;;;;;;;208
0000027956;;COUNTRY;Финляндия;Finland;;;;;;;246
0000027957;;COUNTRY;Франция;France;;;;;;;250
0000027958;;COUNTRY;Германия;Germany;;;;;;;276
0000027959;;COUNTRY;Греция;Greece;;;;;;;300
0000027960;;COUNTRY;Венгрия;Hungary;;;;;;;348
0000027961;;COUNTRY;Исландия;Iceland;;;;;;;352
0000027962;;COUNTRY;Италия;Italy;;;;;;;380
0000027963;;COUNTRY;Лихтенштейн;Liechtenstein;;;;;;;438
0000027964;;COUNTRY;Люксембург;Luxembourg;;;;;;;442
0000027965;;COUNTRY;Македония;Macedonia;;;;;;;807
0000027966;;COUNTRY;Мальта;Malta;;;;;;;470
0000027967;;COUNTRY;Монако;Monaco;;;;;;;492
0000027968;;COUNTRY;Нидерланды;Netherlands;;;;;;;528
0000027969;;COUNTRY;Норвегия;Norway;;;;;;;578
0000027970;;COUNTRY;Польша;Poland;;;;;;;616
0000027971;;COUNTRY;Португалия;Portugal;;;;;;;620
0000027972;;COUNTRY;Румыния;Romania;;;;;;;642
0000027973;;COUNTRY;Словакия;Slovakia;;;;;;;703
0000027974;;COUNTRY;Словения;Slovenia;;;;;;;705
0000027975;;COUNTRY;Ирландия;Ireland;;;;;;;372
0000027976;;COUNTRY;Испания;Spain;;;;;;;724
0000027977;;COUNTRY;Швеция;Sweden;;;;;;;752
0000027978;;COUNTRY;Швейцария;Switzerland;;;;;;;756
0000027979;;COUNTRY;Великобритания;UK;;;;;;;826
0000027980;;COUNTRY;Ватикан;Vatican City;;;;;;;336
0000027981;;COUNTRY;Югославия;Yugoslavia;;;;;;;
0000027982;;COUNTRY;Босния и Герцеговина;Bosnia-Herzegovina;;;;;;;70
0000027983;;COUNTRY;Чешская республика;Czech Republic;;;;;;;203
0000027984;;COUNTRY;Мексика;Mexico;;;;;;;484
0000027985;;COUNTRY;Израиль;Israel;;;;;;;376
0000027986;;COUNTRY;Австралия;Australia;;;;;;;36
0000027987;;COUNTRY;Ангола;Angola;;;;;;;24
