,1,2,3,4,5
1,130.90,131.50,146.50,173.00,199.30
2,132.70,133.20,150.70,180.60,209.40
3,138.10,139.80,156.10,186.10,214.80
4,168.20,187.30,204.60,241.30,260.70
5,189.50,211.20,230.30,271.90,293.80
6,10.00,11.10,12.20,14.40,15.50
7,11.60,12.30,13.30,15.40,16.50
8,16.90,17.80,18.70,20.40,21.50
9,24.30,25.10,26.20,27.80,28.80
10,28.10,28.80,29.80,31.50,32.50
11,30.00,30.00,30.00,30.00,30.00
12,30.00,30.00,30.00,30.00,30.00
13,40.00,40.00,40.00,40.00,40.00
14,30.00,30.00,30.00,30.00,30.00
15,254.70,268.20,301.30,355.70,399.60
16,76.50,80.40,90.40,106.80,119.90
17,76.50,80.40,90.40,106.80,119.90
18,30.00,30.00,30.00,30.00,30.00
19,,,,,
20,0.04,0.04,0.04,0.04,0.04
21,,,,,
*,15.00,15.00,15.00,15.00,15.00
**,35.00,35.00,35.00,35.00,35.00
