en
S,en,Kazakhstan,ru,Казахстан
R,en,Almaty obl,ru,Алматы
T,en,Ushtob,ru,Уштобе
T,en,Ushara,ru,Ушарал
T,en,Tekeli,ru,Текели
T,en,Talgar,ru,Талгар
T,en,Kaskelen,ru,Каскелен
T,en,Kapchaga,ru,Капчагай
T,en,Esik,ru,Есик
T,en,Zharken,ru,Жаркент
T,en,Taldykorgan,ru,Талдыкорган
R,en,Atyrau obl,ru,Атырау
T,en,Atyrau,ru,Атырау
R,en,East Kazakhstan obl,ru,Восточно-Казахстанская обл
T,en,Shemonaix,ru,Шемонаиха
T,en,Ayago,ru,Аягоз
T,en,Ust-Kamenogorsk ,ru,Усть-Каменогорск
T,en,Zyrayanov,ru,Зыряновск
T,en,Kurchato,ru,Курчатов
T,en,Ridder,ru,Риддер
T,en,Semipalatinsk,ru,Семипалатинск
T,en,Serebryans,ru,Серебрянск
T,en,Shulbinsk,ru,Шульбинск
R,en,Jambyl obl,ru,Жамбыльская обл
T,en,Kulan,ru,Кулан
T,en,Korday,ru,Кордай
T,en,Zhanata,ru,Жанатас
T,en,Taraz,ru,Тараз
T,en,Ch,ru,Шу
R,en,West Kazakhstan obl,ru,Западно-Казахстанская обл
T,en,Aksay,ru,Аксай
T,en,Uralsk ,ru,Уральск
T,en,Chapaev,ru,Чапаев
R,en,Karagandy obl,ru,Карагандинская обл
T,en,Satpaev,ru,Сатпаев
T,en,Sarany,ru,Сарань
T,en,Karazal,ru,Каражал
T,en,Karaganda,ru,Караганда
T,en,Balkas,ru,Балхаш
T,en,Dzhezkazg,ru,Жезказган
T,en,Temirtau,ru,Темиртау
T,en,Shakhtin,ru,Шахтинск
R,en,Kostanay obl,ru,Костанайская обл
T,en,Sarykoly,ru,Сарыколь
T,en,Rudnyi,ru,Рудный
T,en,Zhitikar,ru,Житикара
T,en,Arkalyk,ru,Аркалык
T,en,Kostanai,ru,Костанай
T,en,Lisakovsk,ru,Лисаковск
R,en,Kyzylorda obl,ru,Кызылординская обл
T,en,Kizilorda,ru,Кызылорда
T,en,Baikonur,ru,Байконур
T,en,Aralsk ,ru,Аральск
R,en,Mangystau obl,ru,Мангистауская обл
T,en,Zhanaoze,ru,Жанаозен
T,en,Aqtau,ru,Актау
R,en,Pavlodar obl,ru,Павлодарская обл
T,en,Aksu,ru,Аксу
T,en,Pavlodar,ru,Павлодар
T,en,Irtyshs,ru,Иртышск
T,en,Ekibastuz,ru,Экибастуз
R,en,South Kazakhstan obl,ru,Южно-Казахстанская обл
T,en,Shardar,ru,Шардара
T,en,Turkestan,ru,Туркестан
T,en,Saryagas,ru,Сарыагаш
T,en,Lenger,ru,Ленгер
T,en,Kentau,ru,Кентау
T,en,Dzhetis,ru,Жетысай
T,en,Shymken,ru,Шымкент
R,en,Akmola obl,ru,Акмолинская обл
T,en,Schuchi,ru,Щучинск
T,en,Stepnogorsk,ru,Степногорск
T,en,Makinsk,ru,Макинск
T,en,Koksheta,ru,Кокшетау
T,en,Ermentau,ru,Ерментау
T,en,Derzavinsk,ru,Державинск
T,en,Atbasar,ru,Атбасар
T,en,Akkol ,ru,Акколь
R,en,Aktobe obl,ru,Актюбинская обл
T,en,Emba,ru,Эмба
T,en,Xromtau,ru,Хромтау
T,en,Alga,ru,Алга
T,en,Kandyagas,ru,Кандыагаш
R,en,North Kazakhstan obl,ru,Северо-Казахстанская обл
T,en,Petropavlovsk,ru,Петропавловск
R,en,Astana,ru,Астана
T,en,Astana,ru,Астана
R,en,Almaty,ru,Алматы
T,en,Almaty,ru,Алматы
