,Абакан,Анадырь,Архангельск,Астрахань,Барнаул,Белгород,Биробиджан,Благовещенск,Брянск,Великий Новгород,Владивосток,Владикавказ,Владимир,Волгоград,Вологда,Воронеж,Горно-Алтайск,Грозный,Дудинка,Екатеринбург,Иваново,Ижевск,Иркутск,Йошкар-Ола,Казань,Калининград,Калуга,Кемерово,Киров,Кострома,Краснодар,Красноярск,Курган,Курск,Кызыл,Липецк,Магадан,Майкоп,Махачкала,Москва,Мурманск,Назрань,Нальчик,Нарьян-Мар,Нижний Новгород,Новосибирск,Омск,Орел,Оренбург,Пенза,Пермь,Петрозаводск,Петропавловск-Камчатский,Псков,Ростов-на-Дону,Рязань,Санкт-Петербург,Салехард,Самара,Саранск,Саратов,Смоленск,Ставрополь,Сыктывкар,Тамбов,Тверь,Томск,Тула,Тюмень,Улан-Удэ,Ульяновск,Уфа,Хабаровск,Ханты-Мансийск,Чебоксары,Челябинск,Черкесск,Чита,Элиста,Южно-Сахалинск,Якутск,Ярославль
Абакан,0,11,6,6,7,6,8,7,6,7,5,5,6,5,6,6,9,7,8,5,5,7,5,7,6,6,5,6,6,6,6,4,7,6,4,6,7,6,5,4,7,8,6,6,6,5,6,6,6,6,6,6,7,7,6,6,6,5,6,6,6,6,5,7,7,5,6,6,6,5,7,6,8,8,7,7,7,5,8,8,9,5
Анадырь,9,0,9,8,8,8,10,10,7,9,9,8,8,7,7,8,10,10,10,9,8,9,8,10,8,9,7,8,8,8,8,8,9,8,10,8,11,9,8,6,9,11,9,8,8,8,8,8,9,8,8,8,9,9,8,8,8,8,9,8,9,8,7,8,9,7,8,7,8,8,10,8,9,8,9,9,9,10,11,8,10,8
Архангельск,5,7,0,7,5,6,7,7,6,5,5,4,5,4,4,5,6,7,6,7,5,7,5,7,5,7,6,5,6,5,4,5,7,6,7,6,6,5,4,5,4,7,5,3,7,4,5,6,6,6,6,4,6,5,6,6,3,4,6,6,6,6,4,5,7,6,5,5,4,5,7,6,6,4,7,7,5,7,9,5,6,4
Астрахань,6,8,7,0,6,6,8,7,5,7,6,6,5,5,6,6,7,8,7,7,5,8,6,9,7,6,5,5,6,6,6,5,7,5,7,7,7,7,5,4,7,9,7,6,6,6,6,5,6,6,5,6,6,7,7,5,6,5,5,7,4,6,7,7,5,5,6,5,5,6,6,6,6,6,7,7,8,7,8,6,6,5
Барнаул,8,7,6,6,0,5,7,7,5,6,5,4,5,5,5,5,3,8,8,5,4,8,7,8,6,5,5,5,6,5,4,6,6,5,8,6,7,5,4,4,6,8,6,5,5,4,5,5,5,5,6,5,6,6,5,5,5,4,5,5,5,5,4,6,6,5,5,5,5,7,6,6,6,5,8,6,6,7,8,6,6,4
Белгород,6,8,6,6,6,0,8,8,6,7,6,8,5,5,6,6,7,9,8,6,5,7,6,8,7,6,5,6,5,5,7,6,7,3,8,7,7,8,5,4,6,9,7,7,6,5,6,3,6,6,6,6,7,7,5,6,6,6,6,6,6,6,7,6,6,6,6,3,6,6,7,6,7,5,8,7,8,8,8,6,7,5
Биробиджан,8,9,7,7,8,7,0,5,6,8,5,6,7,6,6,6,9,9,9,6,6,9,6,9,7,7,6,8,7,7,7,6,9,7,8,7,7,8,6,5,7,9,7,9,7,6,7,7,7,7,7,8,6,8,7,7,6,9,7,7,7,7,6,7,8,6,7,6,8,6,8,7,3,8,8,7,8,5,9,4,7,6
Благовещенск,7,10,9,8,9,8,5,0,7,9,5,7,8,7,7,7,10,10,9,8,7,9,7,9,7,8,7,9,8,8,8,5,8,8,6,8,9,9,7,6,9,10,8,9,8,7,8,8,8,8,8,8,7,8,8,8,7,8,8,7,8,8,7,8,8,7,8,7,8,7,9,8,5,7,9,8,9,6,11,6,6,7
Брянск,6,8,6,6,6,6,8,9,0,7,6,5,5,6,5,5,7,8,8,6,5,7,6,7,5,6,3,6,6,5,5,6,7,6,8,5,7,6,5,4,7,8,6,6,6,6,6,4,6,5,5,6,7,7,6,5,5,5,6,5,6,4,4,7,7,5,6,5,5,6,7,6,7,4,7,7,7,8,9,6,7,5
Великий Новгород,8,10,5,6,6,7,8,7,7,0,6,7,7,6,7,7,7,8,9,6,7,6,7,8,6,5,7,6,8,8,5,7,8,7,9,7,7,6,7,6,5,8,7,7,7,6,6,7,6,8,6,5,6,5,5,7,4,7,5,7,6,7,8,6,7,6,6,6,6,6,6,6,7,5,8,6,7,9,8,7,6,6
Владивосток,4,8,6,6,6,6,4,6,6,7,0,5,6,6,5,6,8,8,10,6,5,9,4,9,7,6,5,6,6,6,6,6,7,6,8,6,8,7,5,4,6,8,6,7,6,4,5,6,6,6,7,6,4,7,6,6,5,6,6,6,6,6,5,7,6,5,6,6,8,6,7,7,4,8,9,7,7,6,9,4,6,5
Владикавказ,6,7,5,6,5,5,7,8,5,6,6,0,5,5,4,5,6,6,7,5,4,6,5,6,5,5,4,5,5,4,5,5,6,5,7,6,6,7,4,4,6,6,4,6,5,5,5,5,5,5,5,5,7,6,5,5,5,5,5,5,5,5,6,6,5,5,5,5,4,5,6,5,6,4,6,6,6,7,7,5,6,4
Владимир,6,8,6,5,6,5,8,8,5,6,6,5,0,5,5,5,8,7,7,4,3,6,6,7,5,6,5,6,3,4,5,6,7,5,8,6,7,6,5,3,7,8,5,6,3,6,5,6,5,4,6,6,6,6,5,5,5,6,5,6,6,6,5,7,6,5,7,5,5,6,7,6,7,5,7,5,6,8,9,6,7,5
Волгоград,5,7,5,5,5,5,7,7,5,6,5,6,5,0,4,5,7,8,6,5,4,6,5,6,5,6,4,5,5,5,6,5,7,5,7,6,6,7,5,4,6,8,6,5,5,5,5,5,5,5,5,5,6,6,4,5,5,4,4,7,4,5,7,6,5,4,5,5,6,5,5,4,6,4,6,5,7,7,7,5,6,4
Вологда,5,7,4,6,5,5,7,7,5,6,5,5,4,4,0,4,7,8,7,5,5,7,5,6,5,5,4,5,4,5,5,5,6,5,7,6,6,6,5,4,6,8,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,4,4,6,4,5,5,5,5,6,5,6,4,6,6,7,7,8,5,6,3
Воронеж,5,7,6,7,5,7,7,7,5,7,5,5,5,6,6,0,6,6,6,6,4,7,5,8,7,6,5,5,6,5,5,5,7,4,7,3,7,6,7,4,6,6,4,5,5,4,5,5,6,5,6,6,6,7,3,6,5,4,5,6,6,6,6,6,5,5,5,5,4,5,6,5,6,4,8,6,5,7,7,5,6,5
Горно-Алтайск,10,9,8,7,3,7,9,9,7,8,7,6,7,6,7,7,0,9,10,8,6,10,8,10,8,7,6,7,8,7,6,7,8,7,9,7,8,7,6,5,8,9,7,7,7,6,7,7,7,7,8,7,8,8,7,7,7,6,7,7,7,7,6,8,8,7,7,7,7,8,8,9,8,7,10,8,8,8,10,8,8,6
