,1,2,3,4,5
1,150.00,202.00,227.00,267.00,363.00
2,204.00,205.00,231.00,278.00,375.00
3,212.00,213.00,239.00,282.00,391.00
4,256.00,286.00,304.00,338.00,413.00
5,287.00,316.00,334.00,380.00,424.00
6,18.00,20.00,21.00,25.00,34.00
7,21.00,22.00,23.00,27.00,35.00
8,29.00,31.00,32.00,34.00,42.00
9,43.00,44.00,46.00,46.00,51.00
10,48.00,51.00,52.00,54.00,56.00
11,40.00,40.00,40.00,40.00,40.00
12,30.00,30.00,30.00,30.00,30.00
13,40.00,40.00,40.00,40.00,40.00
14,30.00,30.00,30.00,30.00,30.00
15,390.00,396.00,400.00,428.00,656.00
16,97.00,103.00,111.00,129.00,144.00
17,97.00,103.00,111.00,129.00,144.00
18,30.00,30.00,30.00,30.00,30.00
19,,,,,
20,0.04,0.04,0.04,0.04,0.04
21,,,,,
*,15.00,15.00,15.00,15.00,15.00
**,35.00,35.00,35.00,35.00,35.00
