en
S,en,Ukraine,ru,Украина,ru,Україна
R,en,Ivano-frankivs'ka obl,ru,Iвано-Франкiвська обл,ua,Iвано-Франкiвська обл
T,en,Babche,ru,Бабче,ua,Бабче
T,en,Bogorodchani,ru,Богородчани,ua,Богородчани
T,en,Bogrivka,ru,Богрiвка,ua,Богрiвка
T,en,Glibivka,ru,Глибiвка,ua,Глибiвка
T,en,Gliboke,ru,Глибоке,ua,Глибоке
T,en,Goroholina,ru,Горохолина,ua,Горохолина
T,en,Goroholin lis,ru,Горохолин Лiс,ua,Горохолин Лiс
T,en,Grabovets',ru,Грабовець,ua,Грабовець
T,en,Guta,ru,Гута,ua,Гута
T,en,Grinivka,ru,Гринiвка,ua,Гринiвка
T,en,Dzvinjach,ru,Дзвиняч,ua,Дзвиняч
T,en,Zhuraki,ru,Жураки,ua,Жураки
T,en,Zaberezhzhja,ru,Забережжя,ua,Забережжя
T,en,Ivanikivka,ru,Iваникiвка,ua,Iваникiвка
T,en,Kosmach,ru,Космач,ua,Космач
T,en,Krivets',ru,Кривець,ua,Кривець
T,en,Krichka,ru,Кричка,ua,Кричка
T,en,Lukvitsja,ru,Луквиця,ua,Луквиця
T,en,Markova,ru,Маркова,ua,Маркова
T,en,Mizhgir'ja,ru,Мiжгiр'я,ua,Мiжгiр'я
T,en,Monastirchani,ru,Монастирчани,ua,Монастирчани
T,en,Manjava,ru,Манява,ua,Манява
T,en,Nivochin,ru,Нивочин,ua,Нивочин
T,en,Pidgir'JA,ru,Пiдгiр'Я,ua,Пiдгiр'Я
T,en,Porogi,ru,Пороги,ua,Пороги
T,en,Pohivka,ru,Похiвка,ua,Похiвка
T,en,Rakovets',ru,Раковець,ua,Раковець
T,en,Rosil'na,ru,Росiльна,ua,Росiльна
T,en,Sadzhava,ru,Саджава,ua,Саджава
T,en,Skobichivka,ru,Скобичiвка,ua,Скобичiвка
T,en,Solotvin,ru,Солотвин,ua,Солотвин
T,en,Stari bogorodchani,ru,Старi Богородчани,ua,Старi Богородчани
T,en,Starunja,ru,Старуня,ua,Старуня
T,en,Hmelivka,ru,Хмелiвка,ua,Хмелiвка
T,en,JAblun'ka,ru,Яблунька,ua,Яблунька
T,en,Bolehiv,ru,Болехiв,ua,Болехiв
T,en,Guziyiv,ru,Гузiїв,ua,Гузiїв
T,en,Kozakivka,ru,Козакiвка,ua,Козакiвка
T,en,Mizhrichchja,ru,Мiжрiччя,ua,Мiжрiччя
T,en,Pidberezhzhja,ru,Пiдбережжя,ua,Пiдбережжя
T,en,Poljanitsja,ru,Поляниця,ua,Поляниця
T,en,Tisiv,ru,Тисiв,ua,Тисiв
T,en,Biloberizka,ru,Бiлоберiзка,ua,Бiлоберiзка
T,en,Bistrets',ru,Бистрець,ua,Бистрець
T,en,Bukovets',ru,Буковець,ua,Буковець
T,en,Verhnij JAseniv,ru,Верхнiй Ясенiв,ua,Верхнiй Ясенiв
T,en,Verhovina,ru,Верховина,ua,Верховина
T,en,Golovi,ru,Голови,ua,Голови
T,en,Goloshina,ru,Голошина,ua,Голошина
T,en,Gramotne,ru,Грамотне,ua,Грамотне
T,en,Grinjava,ru,Гринява,ua,Гринява
T,en,Dovgopole,ru,Довгополе,ua,Довгополе
T,en,Zamagora,ru,Замагора,ua,Замагора
T,en,Zelene,ru,Зелене,ua,Зелене
T,en,Il'tsi,ru,Iльцi,ua,Iльцi
T,en,Krasnik,ru,Красник,ua,Красник
T,en,Krasnoyillja,ru,Красноїлля,ua,Красноїлля
T,en,Krivopillja,ru,Кривопiлля,ua,Кривопiлля
T,en,Krivorivnja,ru,Криворiвня,ua,Криворiвня
T,en,Poljanki,ru,Полянки,ua,Полянки
T,en,Probijnivka,ru,Пробiйнiвка,ua,Пробiйнiвка
T,en,Stebni,ru,Стебнi,ua,Стебнi
T,en,Usteriki,ru,Устерiки,ua,Устерiки
T,en,Horotseve,ru,Хороцеве,ua,Хороцеве
T,en,CHeremoshna,ru,Черемошна,ua,Черемошна
T,en,JAblunitsja,ru,Яблуниця,ua,Яблуниця
T,en,JAvirnik,ru,Явiрник,ua,Явiрник
T,en,Bil'shivtsi,ru,Бiльшiвцi,ua,Бiльшiвцi
T,en,Bljudniki,ru,Блюдники,ua,Блюдники
T,en,Bovshiv,ru,Бовшiв,ua,Бовшiв
T,en,Brin',ru,Бринь,ua,Бринь
T,en,Burshtin,ru,Бурштин,ua,Бурштин
T,en,Viktoriv,ru,Вiкторiв,ua,Вiкторiв
T,en,Galich,ru,Галич,ua,Галич
T,en,Delieve,ru,Делiєве,ua,Делiєве
T,en,Dem'JAniv,ru,Дем'Янiв,ua,Дем'Янiв
T,en,Demeshkivtsi,ru,Демешкiвцi,ua,Демешкiвцi
T,en,Ditjatin,ru,Дитятин,ua,Дитятин
T,en,Dorogiv,ru,Дорогiв,ua,Дорогiв
T,en,Dubivtsi,ru,Дубiвцi,ua,Дубiвцi
T,en,Zhalibori,ru,Жалибори,ua,Жалибори
T,en,Zadnistrjans'ke,ru,Заднiстрянське,ua,Заднiстрянське
T,en,Zalukva,ru,Залуква,ua,Залуква
T,en,Kinashiv,ru,Кiнашiв,ua,Кiнашiв
T,en,Kinchaki,ru,Кiнчаки,ua,Кiнчаки
T,en,Kolodiyiv,ru,Колодiїв,ua,Колодiїв
T,en,Komariv,ru,Комарiв,ua,Комарiв
T,en,Korostovichi,ru,Коростовичi,ua,Коростовичi
T,en,Krilos,ru,Крилос,ua,Крилос
T,en,Kukil'niki,ru,Кукiльники,ua,Кукiльники
T,en,Lani,ru,Лани,ua,Лани
T,en,Marinopil',ru,Маринопiль,ua,Маринопiль
T,en,Medinja,ru,Мединя,ua,Мединя
T,en,Meduha,ru,Медуха,ua,Медуха
T,en,Mezhigirtsi,ru,Межигiрцi,ua,Межигiрцi
T,en,Naberezhne,ru,Набережне,ua,Набережне
T,en,Narayivka,ru,Нараївка,ua,Нараївка
T,en,Nastashine,ru,Насташине,ua,Насташине
T,en,Nimshin,ru,Нiмшин,ua,Нiмшин
T,en,Novi skomorohi,ru,Новi Скоморохи,ua,Новi Скоморохи
T,en,Ozerjani,ru,Озеряни,ua,Озеряни
T,en,Ostriv,ru,Острiв,ua,Острiв
T,en,Perlivtsi,ru,Перлiвцi,ua,Перлiвцi
T,en,Sloboda,ru,Слобода,ua,Слобода
T,en,Stari skomorohi,ru,Старi Скоморохи,ua,Старi Скоморохи
T,en,Starij martiniv,ru,Старий Мартинiв,ua,Старий Мартинiв
T,en,Tenetniki,ru,Тенетники,ua,Тенетники
T,en,Tumir,ru,Тумир,ua,Тумир
T,en,Tustan',ru,Тустань,ua,Тустань
T,en,Hohoniv,ru,Хохонiв,ua,Хохонiв
T,en,JAbluniv,ru,Яблунiв,ua,Яблунiв
T,en,Vikno,ru,Вiкно,ua,Вiкно
T,en,Verbivtsi,ru,Вербiвцi,ua,Вербiвцi
T,en,Vinograd,ru,Виноград,ua,Виноград
T,en,Vil'hivtsi,ru,Вiльхiвцi,ua,Вiльхiвцi
T,en,Voroniv,ru,Воронiв,ua,Воронiв
T,en,Glushkiv,ru,Глушкiв,ua,Глушкiв
T,en,Gorodenka,ru,Городенка,ua,Городенка
T,en,Gorodnitsja,ru,Городниця,ua,Городниця
T,en,Daleshove,ru,Далешове,ua,Далешове
T,en,Dubka,ru,Дубка,ua,Дубка
T,en,Kolinki,ru,Колiнки,ua,Колiнки
T,en,Kopachintsi,ru,Копачинцi,ua,Копачинцi
T,en,Korniv,ru,Корнiв,ua,Корнiв
T,en,Kotikivka,ru,Котикiвка,ua,Котикiвка
T,en,Kunisivtsi,ru,Кунисiвцi,ua,Кунисiвцi
T,en,Luka,ru,Лука,ua,Лука
T,en,Mihal'che,ru,Михальче,ua,Михальче
T,en,Nezvis'ko,ru,Незвисько,ua,Незвисько
T,en,Olievo-korniv,ru,Олiєво-Корнiв,ua,Олiєво-Корнiв
T,en,Olievo-korolivka,ru,Олiєво-Королiвка,ua,Олiєво-Королiвка
T,en,Ostrivets',ru,Острiвець,ua,Острiвець
T,en,Potochische,ru,Поточище,ua,Поточище
T,en,Prikmische,ru,Прикмище,ua,Прикмище
T,en,Rakovets',ru,Раковець,ua,Раковець
T,en,Rashkiv,ru,Рашкiв,ua,Рашкiв
T,en,Rosohach,ru,Росохач,ua,Росохач
T,en,Semakivtsi,ru,Семакiвцi,ua,Семакiвцi
T,en,Semenivka,ru,Семенiвка,ua,Семенiвка
T,en,Serafintsi,ru,Серафинцi,ua,Серафинцi
T,en,Slobidka,ru,Слобiдка,ua,Слобiдка
T,en,Soroki,ru,Сороки,ua,Сороки
T,en,Stril'che,ru,Стрiльче,ua,Стрiльче
T,en,Tishkivtsi,ru,Тишкiвцi,ua,Тишкiвцi
T,en,Toporivtsi,ru,Топорiвцi,ua,Топорiвцi
T,en,Torgovitsja,ru,Торговиця,ua,Торговиця
T,en,CHernelitsja,ru,Чернелиця,ua,Чернелиця
T,en,CHernjatin,ru,Чернятин,ua,Чернятин
T,en,CHortovets',ru,Чортовець,ua,Чортовець
T,en,JAseniv-pil'nij,ru,Ясенiв-Пiльний,ua,Ясенiв-Пiльний
T,en,Beleyiv,ru,Белеїв,ua,Белеїв
T,en,Velika tur'JA,ru,Велика Тур'Я,ua,Велика Тур'Я
T,en,Vigoda,ru,Вигода,ua,Вигода
T,en,Vitvitsja,ru,Витвиця,ua,Витвиця
T,en,Vishkiv,ru,Вишкiв,ua,Вишкiв
T,en,Gerinja,ru,Гериня,ua,Гериня
T,en,Goshiv,ru,Гошiв,ua,Гошiв
T,en,Dolina,ru,Долина,ua,Долина
T,en,Kal'na,ru,Кальна,ua,Кальна
T,en,Knjazholuka,ru,Княжолука,ua,Княжолука
T,en,Kropivnik,ru,Кропивник,ua,Кропивник
T,en,Lolin,ru,Лолин,ua,Лолин
T,en,Maksimivka,ru,Максимiвка,ua,Максимiвка
T,en,Mala tur'JA,ru,Мала Тур'Я,ua,Мала Тур'Я
T,en,Mislivka,ru,Мислiвка,ua,Мислiвка
T,en,Nadiyiv,ru,Надiїв,ua,Надiїв
T,en,Novichka,ru,Новичка,ua,Новичка
T,en,Novoselitsja,ru,Новоселиця,ua,Новоселиця
T,en,Novoshin,ru,Новошин,ua,Новошин
T,en,Obolonnja,ru,Оболоння,ua,Оболоння
T,en,Patsikiv,ru,Пацикiв,ua,Пацикiв
T,en,Pidliski,ru,Пiдлiски,ua,Пiдлiски
T,en,Pshenichniki,ru,Пшеничники,ua,Пшеничники
T,en,Rakiv,ru,Ракiв,ua,Ракiв
T,en,Rahinja,ru,Рахиня,ua,Рахиня
T,en,Roztochki,ru,Розточки,ua,Розточки
T,en,Senechiv,ru,Сенечiв,ua,Сенечiв
T,en,Sloboda-bolehivs'ka,ru,Слобода-Болехiвська,ua,Слобода-Болехiвська
T,en,Sloboda-dolins'ka,ru,Слобода-Долинська,ua,Слобода-Долинська
T,en,Solukiv,ru,Солукiв,ua,Солукiв
T,en,Stankivtsi,ru,Станкiвцi,ua,Станкiвцi
T,en,Starij mizun',ru,Старий Мiзунь,ua,Старий Мiзунь
T,en,Trostjanets',ru,Тростянець,ua,Тростянець
T,en,Tjapche,ru,Тяпче,ua,Тяпче
T,en,Tserkovna,ru,Церковна,ua,Церковна
T,en,Shevchenkove,ru,Шевченкове,ua,Шевченкове
T,en,JAvoriv,ru,Яворiв,ua,Яворiв
T,en,JAkubiv,ru,Якубiв,ua,Якубiв
T,en,Vovchinets',ru,Вовчинець,ua,Вовчинець
T,en,Ivano-frankivs'k,ru,Iвано-Франкiвськ,ua,Iвано-Франкiвськ
T,en,Krihivtsi,ru,Крихiвцi,ua,Крихiвцi
T,en,Mikitintsi,ru,Микитинцi,ua,Микитинцi
T,en,Ugorniki,ru,Угорники,ua,Угорники
T,en,Hriplin,ru,Хриплин,ua,Хриплин
T,en,Berezhnitsja,ru,Бережниця,ua,Бережниця
T,en,Bodnariv,ru,Боднарiв,ua,Боднарiв
T,en,Verhnja,ru,Верхня,ua,Верхня
T,en,Vistova,ru,Вiстова,ua,Вiстова
T,en,Vojniliv,ru,Войнилiв,ua,Войнилiв
T,en,Golin',ru,Голинь,ua,Голинь
T,en,Grabivka,ru,Грабiвка,ua,Грабiвка
T,en,Gumeniv,ru,Гуменiв,ua,Гуменiв
T,en,Dobrovljani,ru,Добровляни,ua,Добровляни
T,en,Dovge-kalus'ke,ru,Довге-Калуське,ua,Довге-Калуське
T,en,Dovgij vojniliv,ru,Довгий Войнилiв,ua,Довгий Войнилiв
T,en,Dovpotiv,ru,Довпотiв,ua,Довпотiв
T,en,Zavadka,ru,Завадка,ua,Завадка
T,en,Zavij,ru,Завiй,ua,Завiй
T,en,Zbora,ru,Збора,ua,Збора
T,en,Kadobna,ru,Кадобна,ua,Кадобна
T,en,Kalush,ru,Калуш,ua,Калуш
T,en,Kopanki,ru,Копанки,ua,Копанки
T,en,Kropivnik,ru,Кропивник,ua,Кропивник
T,en,Misliv,ru,Мислiв,ua,Мислiв
T,en,Mostische,ru,Мостище,ua,Мостище
T,en,Negivtsi,ru,Негiвцi,ua,Негiвцi
T,en,Novitsja,ru,Новиця,ua,Новиця
T,en,Perevozets',ru,Перевозець,ua,Перевозець
T,en,Perekosi,ru,Перекоси,ua,Перекоси
T,en,Pidmihajlja,ru,Пiдмихайля,ua,Пiдмихайля
T,en,Pijlo,ru,Пiйло,ua,Пiйло
T,en,Rip'JAnka,ru,Рiп'Янка,ua,Рiп'Янка
T,en,Serednij babin,ru,Середнiй Бабин,ua,Середнiй Бабин
T,en,Serednij ugriniv,ru,Середнiй Угринiв,ua,Середнiй Угринiв
T,en,Sivka-vojnilivs'ka,ru,Сiвка-Войнилiвська,ua,Сiвка-Войнилiвська
T,en,Sivka-kalus'ka,ru,Сiвка-Калуська,ua,Сiвка-Калуська
T,en,Slobidka,ru,Слобiдка,ua,Слобiдка
T,en,Stan'kova,ru,Станькова,ua,Станькова
T,en,Starij ugriniv,ru,Старий Угринiв,ua,Старий Угринiв
T,en,Studinka,ru,Студiнка,ua,Студiнка
T,en,Tomashivtsi,ru,Томашiвцi,ua,Томашiвцi
T,en,Tuzhiliv,ru,Тужилiв,ua,Тужилiв
T,en,Tsvitova,ru,Цвiтова,ua,Цвiтова
T,en,Bab'JAnka,ru,Баб'Янка,ua,Баб'Янка
T,en,Bogorodichin,ru,Богородичин,ua,Богородичин
T,en,Velika kam'JAnka,ru,Велика Кам'Янка,ua,Велика Кам'Янка
T,en,Velikij kljuchiv,ru,Великий Ключiв,ua,Великий Ключiв
T,en,Verhnij verbizh,ru,Верхнiй Вербiж,ua,Верхнiй Вербiж
T,en,Vinograd,ru,Виноград,ua,Виноград
T,en,Vorona,ru,Ворона,ua,Ворона
T,en,Voskresintsi,ru,Воскресинцi,ua,Воскресинцi
T,en,Ganniv,ru,Ганнiв,ua,Ганнiв
T,en,Gvizdets',ru,Гвiздець,ua,Гвiздець
T,en,Godi-dobrovidka,ru,Годи-Добровiдка,ua,Годи-Добровiдка
T,en,Goloskiv,ru,Голоскiв,ua,Голоскiв
T,en,Grabich,ru,Грабич,ua,Грабич
T,en,Grushiv,ru,Грушiв,ua,Грушiв
T,en,Debeslavtsi,ru,Дебеславцi,ua,Дебеславцi
T,en,Dzhurkiv,ru,Джуркiв,ua,Джуркiв
T,en,Zhukotin,ru,Жукотин,ua,Жукотин
T,en,Zagajpil',ru,Загайпiль,ua,Загайпiль
T,en,Zaluchchja,ru,Залуччя,ua,Залуччя
T,en,Zamulintsi,ru,Замулинцi,ua,Замулинцi
T,en,Ivanivka,ru,Iванiвка,ua,Iванiвка
T,en,Kazaniv,ru,Казанiв,ua,Казанiв
T,en,Kijdantsi,ru,Кийданцi,ua,Кийданцi
T,en,Knjazhdvir,ru,Княждвiр,ua,Княждвiр
T,en,Kobilets',ru,Кобилець,ua,Кобилець
T,en,Kovalivka,ru,Ковалiвка,ua,Ковалiвка
T,en,Kolomija,ru,Коломия,ua,Коломия
T,en,Kornich,ru,Корнич,ua,Корнич
T,en,Korolivka,ru,Королiвка,ua,Королiвка
T,en,Korshiv,ru,Коршiв,ua,Коршiв
T,en,Kropivische,ru,Кропивище,ua,Кропивище
T,en,Liski,ru,Лiски,ua,Лiски
T,en,Lisna slobidka,ru,Лiсна Слобiдка,ua,Лiсна Слобiдка
T,en,Lisnij hlibichin,ru,Лiсний Хлiбичин,ua,Лiсний Хлiбичин
T,en,Mala kam'JAnka,ru,Мала Кам'Янка,ua,Мала Кам'Янка
T,en,Mala slobidka,ru,Мала Слобiдка,ua,Мала Слобiдка
